Date,New Users,Meetings/Webinars,Participants,Meeting Minutes
2018-02-01,0,9,45,1609
2018-02-02,0,4,51,3795
2018-02-03,0,0,0,0
2018-02-04,0,0,0,0
2018-02-05,0,5,462,11838
2018-02-06,0,10,460,14058
2018-02-07,0,9,27,1224
2018-02-08,0,5,22,1022
2018-02-09,0,8,30,1413
2018-02-10,0,0,0,0
2018-02-11,0,0,0,0
2018-02-12,1,5,18,1040
2018-02-13,0,10,40,2844
2018-02-14,0,15,77,4249
2018-02-15,0,15,68,2760
2018-02-16,0,2,6,184
2018-02-17,0,0,0,0
2018-02-18,0,0,0,0
2018-02-19,0,3,7,145
2018-02-20,0,10,31,1205
2018-02-21,0,10,61,3341
2018-02-22,0,16,74,4590
2018-02-23,0,8,20,729
2018-02-24,0,0,0,0
2018-02-25,0,1,16,4150
2018-02-26,0,11,59,5957
2018-02-27,0,11,42,2069
2018-02-28,0,17,227,8547
