Date,New Users,Meetings/Webinars,Participants,Meeting Minutes
2017-09-01,0,4,9,398
2017-09-02,0,0,0,0
2017-09-03,0,0,0,0
2017-09-04,0,2,13,770
2017-09-05,0,8,29,1735
2017-09-06,0,7,46,2392
2017-09-07,0,9,54,1808
2017-09-08,1,4,9,334
2017-09-09,0,1,5,49
2017-09-10,0,0,0,0
2017-09-11,0,3,17,660
2017-09-12,0,4,24,1324
2017-09-13,0,5,23,1380
2017-09-14,0,3,24,1177
2017-09-15,0,7,17,569
2017-09-16,0,0,0,0
2017-09-17,0,1,6,139
2017-09-18,0,6,21,1027
2017-09-19,0,6,30,1399
2017-09-20,0,6,32,1686
2017-09-21,0,10,346,12353
2017-09-22,0,4,308,9147
2017-09-23,0,0,0,0
2017-09-24,0,0,0,0
2017-09-25,0,6,204,8679
2017-09-26,0,8,328,8635
2017-09-27,0,7,22,1180
2017-09-28,0,6,28,1069
2017-09-29,0,3,14,772
2017-09-30,0,0,0,0
