Date,New Users,Meetings/Webinars,Participants,Meeting Minutes
2018-03-01,0,15,288,16863
2018-03-02,0,5,196,8507
2018-03-03,0,0,0,0
2018-03-04,0,2,4,267
2018-03-05,0,11,28,1194
2018-03-06,0,9,72,2256
2018-03-07,0,14,47,2104
2018-03-08,0,8,76,2326
2018-03-09,0,5,18,602
2018-03-10,0,0,0,0
2018-03-11,0,0,0,0
2018-03-12,0,2,29,4518
2018-03-13,0,16,110,7511
2018-03-14,0,5,28,1058
2018-03-15,0,9,63,2230
2018-03-16,0,3,10,421
2018-03-17,0,0,0,0
2018-03-18,0,3,6,224
2018-03-19,0,13,55,1900
2018-03-20,0,10,158,5810
2018-03-21,0,7,142,6719
2018-03-22,0,14,93,3157
2018-03-23,0,7,34,1735
2018-03-24,0,0,0,0
2018-03-25,0,1,2,107
2018-03-26,0,4,21,1091
2018-03-27,0,6,32,1237
2018-03-28,0,9,34,1631
2018-03-29,0,12,44,1881
2018-03-30,0,1,2,80
2018-03-31,0,0,0,0
