Date,New Users,Meetings/Webinars,Participants,Meeting Minutes
2017-10-01,0,0,0,0
2017-10-02,0,8,16,734
2017-10-03,0,7,30,1467
2017-10-04,0,9,33,1630
2017-10-05,0,8,58,2237
2017-10-06,0,4,14,781
2017-10-07,0,0,0,0
2017-10-08,0,1,7,371
2017-10-09,0,2,4,144
2017-10-10,0,10,181,13776
2017-10-11,0,6,211,12701
2017-10-12,0,7,39,1251
2017-10-13,0,10,38,1971
2017-10-14,0,0,0,0
2017-10-15,0,0,0,0
2017-10-16,0,8,16,458
2017-10-17,0,7,27,1363
2017-10-18,0,5,25,1190
2017-10-19,0,5,52,4596
2017-10-20,0,4,23,3689
2017-10-21,0,0,0,0
2017-10-22,0,0,0,0
2017-10-23,0,12,107,9591
2017-10-24,0,14,187,11785
2017-10-25,0,10,50,4548
2017-10-26,0,12,49,2238
2017-10-27,0,4,16,1871
2017-10-28,0,2,5,431
2017-10-29,0,1,3,114
2017-10-30,0,6,115,5553
2017-10-31,0,10,144,6099
