Date,New Users,Meetings/Webinars,Participants,Meeting Minutes
2017-12-01,0,3,13,372
2017-12-02,0,0,0,0
2017-12-03,0,0,0,0
2017-12-04,0,6,25,2615
2017-12-05,0,6,85,3376
2017-12-06,0,7,31,1736
2017-12-07,0,6,29,1415
2017-12-08,0,3,7,377
2017-12-09,0,0,0,0
2017-12-10,0,0,0,0
2017-12-11,0,9,73,1544
2017-12-12,0,9,95,4705
2017-12-13,0,9,41,3737
2017-12-14,0,9,48,2083
2017-12-15,0,2,13,592
2017-12-16,0,0,0,0
2017-12-17,0,0,0,0
2017-12-18,0,6,21,723
2017-12-19,0,5,64,1892
2017-12-20,0,12,47,1711
2017-12-21,0,7,33,1424
2017-12-22,0,1,2,128
2017-12-23,0,0,0,0
2017-12-24,0,1,2,25
2017-12-25,0,0,0,0
2017-12-26,0,1,7,368
2017-12-27,0,2,14,648
2017-12-28,0,1,2,32
2017-12-29,0,1,4,15
2017-12-30,0,0,0,0
2017-12-31,0,0,0,0
