Date,New Users,Meetings/Webinars,Participants,Meeting Minutes
2018-04-01,0,0,0,0
2018-04-02,0,5,219,11271
2018-04-03,0,8,506,12416
2018-04-04,0,7,36,1399
2018-04-05,0,11,50,2177
2018-04-06,0,7,34,1365
2018-04-07,0,0,0,0
2018-04-08,0,1,2,525
2018-04-09,0,4,10,853
2018-04-10,0,6,28,1354
2018-04-11,0,7,26,953
2018-04-12,0,4,24,1363
2018-04-13,0,2,8,362
2018-04-14,0,0,0,0
2018-04-15,0,0,0,0
2018-04-16,0,4,10,531
2018-04-17,0,14,51,2111
2018-04-18,0,8,47,2661
2018-04-19,0,7,207,8722
2018-04-20,0,6,215,8409
2018-04-21,0,0,0,0
2018-04-22,1,0,0,0
2018-04-23,0,10,27,1090
2018-04-24,0,11,90,7389
2018-04-25,0,11,57,6017
2018-04-26,0,12,70,3702
2018-04-27,0,9,25,1246
2018-04-28,0,0,0,0
2018-04-29,0,0,0,0
2018-04-30,0,10,374,13087
