Date,New Users,Meetings/Webinars,Participants,Meeting Minutes
2018-01-01,0,0,0,0
2018-01-02,0,4,13,649
2018-01-03,0,6,25,1343
2018-01-04,0,9,33,1489
2018-01-05,0,4,9,333
2018-01-06,0,0,0,0
2018-01-07,0,0,0,0
2018-01-08,0,5,20,1099
2018-01-09,0,15,132,3076
2018-01-10,0,11,38,1252
2018-01-11,0,8,33,1350
2018-01-12,0,7,86,1991
2018-01-13,0,0,0,0
2018-01-14,0,0,0,0
2018-01-15,0,2,5,253
2018-01-16,0,12,44,2231
2018-01-17,0,14,98,3154
2018-01-18,0,5,58,1499
2018-01-19,0,6,25,983
2018-01-20,0,0,0,0
2018-01-21,0,0,0,0
2018-01-22,0,8,49,1499
2018-01-23,0,11,120,2514
2018-01-24,0,7,30,1553
2018-01-25,0,14,62,2581
2018-01-26,0,8,81,1980
2018-01-27,0,0,0,0
2018-01-28,0,1,2,35
2018-01-29,0,13,46,1597
2018-01-30,0,13,70,6403
2018-01-31,0,10,40,5371
