Date,New Users,Meetings/Webinars,Participants,Meeting Minutes
2018-06-01,0,0,0,0
2018-06-02,0,0,0,0
2018-06-03,0,0,0,0
2018-06-04,0,2,5,226
2018-06-05,0,2,9,289
2018-06-06,0,9,51,2150
2018-06-07,0,7,38,1454
2018-06-08,0,3,17,737
2018-06-09,0,0,0,0
2018-06-10,0,0,0,0
2018-06-11,0,14,44,2089
2018-06-12,0,13,106,8981
2018-06-13,0,7,70,6558
2018-06-14,0,12,41,2029
2018-06-15,0,6,29,1120
2018-06-16,0,0,0,0
2018-06-17,0,0,0,0
2018-06-18,0,5,22,2074
2018-06-19,0,8,23,2062
2018-06-20,0,14,155,6346
2018-06-21,0,13,114,4795
2018-06-22,0,7,27,1219
2018-06-23,0,0,0,0
2018-06-24,0,1,3,131
2018-06-25,0,5,16,984
2018-06-26,0,7,70,2279
2018-06-27,0,5,125,9074
2018-06-28,0,13,165,11201
2018-06-29,0,3,8,234
2018-06-30,0,0,0,0
