Date,New Users,Meetings/Webinars,Participants,Meeting Minutes
2018-09-01,0,0,0,0
2018-09-02,0,0,0,0
2018-09-03,0,0,0,0
2018-09-04,0,14,52,2076
2018-09-05,0,7,18,756
2018-09-06,0,15,93,4695
2018-09-07,0,1,2,59
2018-09-08,0,0,0,0
2018-09-09,0,0,0,0
2018-09-10,0,8,35,1830
2018-09-11,0,14,34,1547
2018-09-12,0,14,142,11110
2018-09-13,0,10,150,9603
2018-09-14,0,6,26,580
2018-09-15,0,0,0,0
2018-09-16,0,0,0,0
2018-09-17,0,12,61,3095
2018-09-18,0,15,72,3497
2018-09-19,0,8,38,1651
2018-09-20,0,8,56,2283
2018-09-21,0,5,13,421
2018-09-22,0,0,0,0
2018-09-23,0,1,2,66
2018-09-24,0,13,74,2880
2018-09-25,0,0,0,0
