Date,New Users,Meetings/Webinars,Participants,Meeting Minutes
2018-07-01,0,1,2,65
2018-07-02,0,11,97,2359
2018-07-03,0,4,11,441
2018-07-04,0,5,31,1420
2018-07-05,0,5,23,655
2018-07-06,0,4,15,891
2018-07-07,0,0,0,0
2018-07-08,0,0,0,0
2018-07-09,0,6,29,1404
2018-07-10,0,6,36,1715
2018-07-11,0,4,9,534
2018-07-12,0,8,33,1385
2018-07-13,0,2,8,321
2018-07-14,0,0,0,0
2018-07-15,0,0,0,0
2018-07-16,0,11,41,1846
2018-07-17,0,8,24,1389
2018-07-18,0,20,91,7986
2018-07-19,0,11,53,5771
2018-07-20,0,8,31,1488
2018-07-21,0,0,0,0
2018-07-22,0,0,0,0
2018-07-23,0,3,10,645
2018-07-24,0,14,67,3855
2018-07-25,0,10,26,1264
2018-07-26,0,10,43,1974
2018-07-27,0,1,4,158
2018-07-28,0,0,0,0
2018-07-29,0,0,0,0
2018-07-30,0,8,31,1539
2018-07-31,0,3,8,174
