Date,New Users,Meetings/Webinars,Participants,Meeting Minutes
2018-05-01,0,15,497,14346
2018-05-02,0,5,24,761
2018-05-03,0,12,65,2920
2018-05-04,0,4,73,2924
2018-05-05,0,1,2,10
2018-05-06,0,0,0,0
2018-05-07,0,4,15,557
2018-05-08,0,10,26,852
2018-05-09,0,12,67,2688
2018-05-10,0,8,39,1031
2018-05-11,0,6,24,1324
2018-05-12,0,0,0,0
2018-05-13,0,1,2,72
2018-05-14,0,7,22,1191
2018-05-15,0,14,57,2695
2018-05-16,0,10,39,3274
2018-05-17,0,10,38,2779
2018-05-18,0,5,21,1145
2018-05-19,0,0,0,0
2018-05-20,0,1,2,121
2018-05-21,0,7,16,629
2018-05-22,0,5,14,855
2018-05-23,0,14,63,3315
2018-05-24,0,13,176,4707
2018-05-25,0,4,171,3567
2018-05-26,0,0,0,0
2018-05-27,0,0,0,0
2018-05-28,0,0,0,0
2018-05-29,0,5,34,1445
2018-05-30,0,0,0,0
2018-05-31,0,0,0,0
