Date,New Users,Meetings/Webinars,Participants,Meeting Minutes
2017-11-01,0,12,45,1834
2017-11-02,0,12,396,12672
2017-11-03,0,4,354,10373
2017-11-04,0,0,0,0
2017-11-05,0,0,0,0
2017-11-06,0,4,8,333
2017-11-07,0,8,26,892
2017-11-08,0,9,32,1205
2017-11-09,0,8,41,1736
2017-11-10,0,0,0,0
2017-11-11,0,0,0,0
2017-11-12,0,0,0,0
2017-11-13,0,8,45,1506
2017-11-14,0,17,57,5190
2017-11-15,0,10,110,5249
2017-11-16,0,11,69,3030
2017-11-17,0,8,27,900
2017-11-18,0,0,0,0
2017-11-19,0,2,6,165
2017-11-20,0,9,29,749
2017-11-21,0,6,29,1678
2017-11-22,0,6,21,977
2017-11-23,0,2,13,600
2017-11-24,0,3,8,419
2017-11-25,0,1,2,151
2017-11-26,0,0,0,0
2017-11-27,0,8,29,1328
2017-11-28,0,10,91,2884
2017-11-29,0,8,55,2817
2017-11-30,0,9,48,2650
